"","Atha_Ler-0_sl_FLT_uG_Rep1","Atha_Ler-0_sl_FLT_uG_Rep2","Atha_Ler-0_sl_FLT_uG_Rep3","Atha_Ler-0_sl_FLT_uG_Rep4","Atha_Ler-0_sl_FLT_0.09G_Rep1","Atha_Ler-0_sl_FLT_0.09G_Rep2","Atha_Ler-0_sl_FLT_0.09G_Rep3","Atha_Ler-0_sl_FLT_0.18G_Rep1","Atha_Ler-0_sl_FLT_0.18G_Rep2","Atha_Ler-0_sl_FLT_0.18G_Rep3","Atha_Ler-0_sl_FLT_0.36G_Rep1","Atha_Ler-0_sl_FLT_0.36G_Rep2","Atha_Ler-0_sl_FLT_0.36G_Rep3","Atha_Ler-0_sl_FLT_0.57G_Rep1","Atha_Ler-0_sl_FLT_0.57G_Rep2","Atha_Ler-0_sl_FLT_0.57G_Rep3","Atha_Ler-0_sl_FLT_0.57G_Rep4","Atha_Ler-0_sl_FLT_1G_Rep1","Atha_Ler-0_sl_FLT_1G_Rep2","Atha_Ler-0_sl_FLT_1G_Rep3"
"AT5G03730",1846,514,454,4946,2032,3181,98,4985,3582,1471,1737,1552,1254,4826,79,3077,1102,1995,3055,807
"AT5G03735",234,4609,4419,4556,198,3661,3862,994,921,501,465,4243,1006,3492,2158,3418,884,287,3847,4420
"AT5G03740",4881,3037,1681,1086,2542,2972,4171,2526,3468,1401,696,4579,3366,1777,1751,3291,2381,2516,4494,2179
"AT5G03745",217,2439,4257,2803,2462,4498,1787,1456,2974,559,1997,3878,4005,3380,2891,202,2579,1724,95,2730
"AT5G03750",2894,308,1390,4759,3077,1445,2390,199,235,2230,2549,2368,2871,942,1448,2601,2430,4837,2922,1161
"AT5G03755",505,1494,4131,826,43,4707,2684,3841,3801,746,1984,2512,1853,790,1326,2357,3352,4074,4444,3405
"AT5G03760",4224,670,2459,1126,857,3785,1685,3962,3295,2003,1518,4940,2212,3486,3444,3210,4026,4325,1561,3733
"AT5G03765",1659,164,4116,1596,1743,403,2637,1163,53,3376,2539,67,2520,652,2531,4494,3161,4737,3262,3044
"AT5G03770",1172,283,4889,2540,371,3840,1683,3916,1027,497,4047,2589,4983,3399,574,3957,2134,1897,2729,1722
"AT5G03775",2896,3158,1202,4509,3344,817,1042,1042,3257,3076,809,3699,3849,715,4600,2807,3714,2560,538,4188
"AT5G03780",4776,1141,3156,1402,3194,3766,4632,4761,2413,2024,1069,2274,473,2762,1600,3395,2873,1482,3643,196
"AT5G03785",3395,4878,3028,3019,3039,2363,4867,2174,886,3035,2705,684,4818,30,4854,2860,1897,920,1903,4602
"AT5G03790",1659,1438,4801,2657,4086,4167,3967,2452,4524,4688,679,1686,2440,4211,1420,712,1196,1288,4266,4935
"AT5G03795",1656,4423,159,591,2210,867,1965,2397,4500,1072,1170,1558,361,1861,131,1416,2934,357,3006,551
"AT5G03800",4657,2036,3737,2419,4466,4548,646,908,312,4022,2297,579,1813,2038,18,1919,644,1490,2613,3347
"AT5G03805",4460,2075,2401,1922,2838,4407,2494,4951,472,633,862,331,4474,62,2444,2054,3627,1097,3498,2855
"AT5G03810",1333,225,298,3189,3127,2063,1091,4430,2035,1996,2413,4708,485,1391,718,3092,2922,272,1311,1143
"AT5G03815",546,2524,1574,2954,720,3871,77,2160,1010,3443,3713,3267,1628,2914,285,389,3559,4728,1234,1070
"AT5G03820",2965,2096,4981,2183,1700,558,4998,4329,674,2110,2119,1664,4199,4812,3522,714,1405,370,2073,2155
"AT5G03825",173,1814,1081,3958,2388,432,179,1141,4618,1747,1274,2332,4610,861,2392,1218,3866,2235,758,4860
"AT5G03830",236,2174,905,1858,2803,596,3638,1368,3572,1725,3280,3285,1108,4634,4122,1244,2221,1080,2224,1024
"AT5G03835",4652,1839,2722,740,4132,1013,1098,1858,4424,2608,4088,4484,2477,3120,1288,4204,3280,310,3748,4160
"AT5G03840",2271,20,2124,384,2703,3864,2588,4168,2342,3867,2354,2229,3443,3453,138,4638,4774,2390,4035,90
"AT5G03845",3103,1468,2039,3803,1601,2668,2856,1680,2210,2858,1058,1481,1624,2011,1327,1495,4360,3187,4205,1177
"AT5G03850",3563,3786,491,4391,2517,4848,4473,353,4142,1327,8,2509,1415,2463,823,382,502,2856,2935,650
"AT5G03860",4835,3658,1931,1080,2301,4607,2490,2055,2787,4682,4976,2120,747,1093,4180,1304,1788,3209,392,4759
"AT5G03870",2434,1424,3912,1528,1767,3482,3648,4265,3985,3964,433,1547,2198,4763,562,1551,3265,2293,835,2615
"AT5G03875",3575,1027,425,1711,4567,2543,4836,4774,802,1663,1388,4332,4451,1660,1008,3759,2489,4244,2868,2146
"AT5G03880",696,1214,4606,350,2894,160,3184,2037,3631,783,3917,3144,3269,2480,2002,1486,839,4890,1486,904
"AT5G03885",4486,2415,4879,542,927,2266,400,3374,1481,72,1868,3954,3738,4664,4938,2839,490,3432,3881,765
"AT5G03890",1766,485,4248,4936,3927,546,936,3280,4546,1249,2067,160,3402,4077,2160,421,2453,1196,732,2753
"AT5G03900",1541,1925,1430,2899,4319,4165,1224,3242,2543,1498,1839,4050,2734,702,4761,555,3334,3580,1857,4448
"AT5G03905",1455,3475,1807,4503,2307,4945,2194,1565,1363,1545,2258,802,1576,2341,2994,17,2860,844,3675,1413
"AT5G03910",1685,3887,3994,449,1433,587,276,4427,3833,2128,4830,880,3045,2608,2634,3747,4041,1763,3386,10
"AT5G03915",4164,958,3638,604,980,2827,1014,4946,2891,2088,3596,2115,428,1141,3060,4406,3233,4338,4538,894
"AT5G03920",3721,4918,274,2674,3042,1594,940,4679,2963,4959,1972,14,4727,4659,142,4093,176,2286,1689,2779
"AT5G03925",4877,789,4550,2526,3498,3298,4148,1621,4688,2438,1998,3286,3832,2014,1520,2522,512,4485,4457,1803
"AT5G03930",627,4239,322,4500,76,2367,1481,2476,2783,3717,1331,4024,1790,1751,3730,3651,3362,2220,3385,4626
"AT5G03935",1488,3802,4302,222,1902,2811,4318,3803,559,2229,1542,2898,422,1394,1642,30,892,4650,2267,318
"AT5G03940",1533,2564,4744,4989,161,2962,4958,2852,2114,4720,3780,2188,1061,4167,3311,4797,4591,4852,514,943
"AT5G03944",2353,806,1273,16,1347,4684,647,4293,3565,4998,979,4210,199,535,1060,3058,1518,1944,2748,235
"AT5G03945",907,852,4328,4256,4127,2556,1973,3206,2689,4208,3201,980,1381,16,652,4430,4202,3532,3436,711
"AT5G03955",4844,2489,1123,1694,2568,4849,420,266,3034,106,3016,1118,899,830,495,154,3353,2332,1861,4518
"AT5G03960",4997,3332,698,3774,1743,4869,4679,3790,3048,1184,4699,3096,2535,2104,4773,4686,2486,24,715,2008
"AT5G03965",192,2480,1540,1483,3051,3129,3254,1052,938,4141,2606,754,2478,3795,96,431,1365,2634,3421,2325
"AT5G03970",1123,2107,4742,3740,4496,3859,2410,1539,91,1,3663,4373,780,4594,1369,444,1160,2979,1279,4176
"AT5G03975",3070,3525,1449,3033,4620,685,2722,1783,3619,2006,1255,1142,526,1418,3427,4316,2380,3490,2574,4179
"AT5G03980",1137,3181,2788,695,4471,4677,211,2422,845,1484,2468,3365,1615,738,3092,1356,4420,1504,858,3529
"AT5G03985",2072,2336,284,3910,2498,2633,1618,4456,3049,1000,2074,4236,4861,475,1677,1122,3104,2476,4772,2848
"AT5G03990",2656,3328,3859,2590,1608,217,3916,2087,2857,3860,1453,2796,1634,3950,4259,1923,643,1522,871,3047
"AT5G03995",3656,4118,1756,1466,3213,4759,4516,4569,610,3961,4400,575,2742,4532,3497,379,3820,4005,2091,3021
"AT5G04000",4886,1180,2649,579,2401,1515,1110,1964,1990,1291,4870,1541,4741,1601,2409,4574,592,2155,513,3044
"AT5G04005",4421,3053,1236,2951,2004,2111,4675,246,877,3582,2414,2752,319,3904,4992,4103,4982,1682,1421,2649
"AT5G04010",1129,2113,4041,4251,4635,3180,164,1871,1775,2063,446,3040,4795,886,2585,4854,2267,2320,795,2862
"AT5G04015",1834,2043,3034,1447,22,4012,2628,4782,3431,3823,4708,4227,1815,4036,769,1713,4912,2620,1667,2903
"AT5G04020",645,2099,2090,974,3333,4220,4986,510,3297,1346,618,2461,3232,2855,836,1045,2053,4652,3691,2464
"AT5G04025",638,1125,3667,2716,1464,404,1054,4963,1443,2918,3050,1853,3227,4914,927,3893,1246,525,1561,4603
"AT5G04030",4580,4120,2862,4757,2147,3706,4683,1300,3205,437,787,891,1007,1732,2155,3289,2562,4718,3079,2072
"AT5G04035",1977,3959,4482,3584,1830,3261,1433,3272,1416,740,834,4949,3471,4270,331,4555,2099,1520,2518,2462
"AT5G04040",1582,4677,3460,1300,4176,438,1725,1091,471,657,747,2438,1703,1443,2499,4027,3163,4492,1411,3574
"AT5G04045",960,415,2239,1957,1772,1360,2585,3963,1567,2874,2025,374,678,4794,66,2098,4824,760,342,4320
"AT5G04047",4220,1685,1857,4803,3292,4856,230,3646,1503,1870,933,2730,4590,2043,3051,588,2109,929,1083,3131
"AT5G04050",1420,2057,3805,4936,366,901,3151,2687,3100,3791,45,1511,4460,2601,2012,4565,0,3083,4030,3307
"AT5G04055",1348,3473,1349,3974,144,1775,972,1278,2269,2378,14,3287,913,1210,4029,729,1579,3763,321,1299
"AT5G04060",4703,2002,4856,4018,1257,1020,4049,737,3046,3085,1228,3705,3533,3311,4765,4315,2511,1316,1082,2829
"AT5G04065",4899,2769,2279,4827,4880,4647,2936,23,4575,3994,4729,720,1534,2331,2155,3212,4239,2927,2010,3929
"AT5G04070",776,3440,3874,4228,4622,1813,2999,1162,2606,1923,2218,1615,4873,3319,1553,2567,4545,2779,4259,2863
"AT5G04075",2546,3523,381,4417,1887,4100,3772,3280,2996,3166,3508,1975,2156,2905,337,3127,4425,2013,1120,1372
"AT5G04080",2830,4503,4200,3460,1628,1747,543,4312,976,4586,764,2805,351,4811,3767,730,4834,2345,184,1827
"AT5G04085",1443,1897,4410,3396,3337,1219,562,495,1685,909,3511,3716,1985,1942,320,3373,4117,4748,1277,1484
"AT5G04090",4876,3328,3512,2045,4214,4097,2012,3649,2235,1811,3953,3022,882,2375,2707,3887,1872,146,133,4
"AT5G04105",4957,3374,3718,2021,3613,2768,3939,4634,1405,1432,321,4720,3921,1314,2305,1727,4930,572,1204,3636
"AT5G04110",8,285,133,418,3562,3395,1725,4838,2360,3214,1860,4528,3671,4746,4558,4696,452,2770,2447,1074
"AT5G04115",171,189,2422,4424,130,862,4627,4982,1885,3979,482,1259,1202,2660,3192,53,2461,2329,739,3327
"AT5G04120",4666,68,2966,3801,230,4710,1322,1220,137,684,1894,4150,4323,4029,538,27,4370,3855,3307,2452
"AT5G04125",3950,593,4451,1079,4068,3605,3256,4640,1023,307,3736,2086,2259,403,507,2219,4021,2078,913,4751
"AT5G04130",560,1507,2993,2684,4267,202,4480,3264,118,1813,2723,3558,1746,3641,3183,383,309,1908,712,3323
"AT5G04135",3920,4890,1458,3808,2932,4608,45,1999,2171,2956,536,293,3966,981,631,4720,3779,2076,4472,3967
"AT5G04140",1301,743,3245,4333,1823,4153,4300,585,1932,1164,2584,1380,2893,4853,835,2862,4850,1451,1772,1602
"AT5G04145",3397,2562,2974,2530,3456,1096,4771,3862,4229,2610,3424,341,1334,1165,3208,3424,2142,334,2752,4218
"AT5G04150",3531,840,4273,4190,2713,621,3508,3685,506,569,3183,1908,3854,2343,4410,227,876,513,305,1014
"AT5G04160",4258,254,1865,2518,2054,292,2673,3726,811,1556,3182,1401,4310,1423,436,2503,3114,322,3784,1088
"AT5G04165",4988,823,2737,4798,2547,2633,3993,3432,4184,141,1885,1845,1507,1354,4413,522,2573,1068,2594,3956
"AT5G04170",4580,4341,2283,2129,4574,2042,1872,4414,1200,1366,3384,3454,3968,4739,4955,718,1135,3075,3237,4244
"AT5G04175",4645,1500,786,3779,446,626,557,83,3264,1737,3314,2205,353,319,1468,3101,957,1042,3951,2101
"AT5G04180",2737,2064,3545,2357,2678,1850,1369,153,3286,3146,4167,1137,4434,204,3167,575,3812,945,620,4570
"AT5G04185",1223,2130,4496,4697,4721,43,3032,3567,1845,1903,4166,458,4186,4188,4775,103,2775,350,923,4542
"AT5G04190",2805,3113,4226,1666,979,2459,3000,4051,369,1031,1146,2187,1702,1500,3977,4156,479,3186,3965,248
"AT5G04195",3745,976,2929,1796,4252,3760,1688,4587,4549,3258,3066,3134,266,3499,3288,2993,313,3243,2545,4880
"AT5G04200",2444,3536,3631,4895,1009,2858,4877,4276,2702,49,1356,473,4628,372,4317,10,2633,3134,3776,3107
"AT5G04205",1366,4082,3510,1507,249,4655,2224,212,455,4978,3897,1023,4431,4837,2505,2839,4338,4668,4831,3172
"AT5G04210",5,1494,3163,2310,4456,286,3013,1644,195,2037,3352,4689,2529,4675,1885,2,279,2313,3148,4176
"AT5G04215",475,1631,963,2730,4261,2463,2424,1129,11,2424,2122,2536,2537,3446,836,1540,797,1923,378,4588
"AT5G04220",3875,3194,10,1954,526,3539,4164,1596,3704,758,1881,3159,4315,31,226,3951,2693,3191,3026,4791
"AT5G04225",2707,2814,2840,1632,4292,3487,2365,3454,1563,627,1887,719,2814,4832,4104,3869,3622,3243,2770,764
"AT5G04230",2174,945,4729,3646,1558,4027,3034,8,764,527,4338,4909,415,378,896,2594,4756,3998,4797,2783
"AT5G04238",900,3118,2566,2514,2772,1135,2711,3789,4790,4641,2535,2805,3913,3149,4383,233,39,2617,214,2746
"AT5G04240",1878,1697,1739,2579,4059,2866,40,3547,118,1539,3325,3989,3541,3105,1153,1271,3396,1282,1256,4655
"AT5G04245",3199,1592,3945,3916,316,4359,4674,4994,3304,3942,1217,4999,1153,3093,4277,1197,465,2483,950,4976
"AT5G04250",2372,4457,1858,3597,3464,1777,4240,1061,1511,4761,4898,306,4418,568,1106,2370,3571,3172,738,1644
"AT5G04255",708,4490,755,741,4765,1145,281,4232,2031,3300,718,902,87,1796,1588,2385,4643,4358,776,741
"AT5G04260",3644,4680,1928,452,3347,3265,1742,619,4295,42,326,2402,3938,1367,96,154,855,3566,2924,2784
"AT5G04267",4243,1137,2351,840,4860,4057,308,3905,3416,685,3169,2454,1235,4837,888,1284,78,777,429,4427
"AT5G04270",777,2684,70,450,2184,3486,3991,3532,1586,1490,4541,2448,3244,2371,4267,4417,4027,3796,4909,4934
"AT5G04275",3837,4326,687,656,76,57,2917,3403,230,2814,1651,308,1959,748,1811,4477,2531,3641,2794,363
"AT5G04280",4201,1199,3940,1329,403,1814,90,2790,4777,1269,4169,1902,3085,586,570,1563,1400,4115,3869,4991
"AT5G04290",886,3304,1189,3536,1765,3716,816,2994,2843,239,1246,1951,4741,2104,2986,3670,4553,1219,2755,172
"AT5G04305",2679,2934,586,3299,990,2158,2553,597,406,4796,1170,952,3380,1664,2594,1681,663,4949,4704,4726
"AT5G04310",1689,4486,362,3681,3764,1785,1979,2783,4581,1746,3125,4992,2894,4980,2061,1467,1735,1189,3824,2277
"AT5G04315",3199,4572,4079,3395,3227,930,2852,3936,3384,4462,2997,2788,1519,4539,332,4136,3933,4179,2335,3447
"AT5G04320",4588,3544,1373,2866,733,3898,3380,437,815,3728,3270,238,4343,617,161,3431,2334,1244,3443,4881
"AT5G04325",1110,255,412,4891,802,2739,2827,2930,4513,1268,4138,416,4536,1445,1397,1321,2245,390,3590,1342
"AT5G04330",4175,3798,1006,4080,660,1412,4411,1171,917,2971,1889,4751,108,2386,2454,1042,2817,4823,503,3815
"AT5G04335",1170,1108,2550,4301,3544,1106,2343,326,2868,500,1976,4322,4895,4106,2347,4366,894,4685,2700,1370
"AT5G04340",1827,3907,4739,3273,358,1910,2625,4133,3740,4428,2949,814,3672,2214,4493,1790,3823,3980,4113,4550
"AT5G04345",1867,1511,4362,4561,2615,4195,1877,4387,1639,4101,173,3206,3291,2407,4209,4887,2492,4290,3695,3985
"AT5G04347",850,1574,445,1120,4987,1783,50,3255,2272,1094,988,2847,2314,2864,854,4481,355,2258,3764,4597
"AT5G04350",4349,773,3661,933,3798,3021,4156,3419,1078,2549,2874,436,4717,1022,2833,702,1564,1655,987,2047
"AT5G04355",601,3028,885,2616,3819,2956,2218,1292,2586,275,1760,299,1128,1465,1122,3849,4423,3027,1104,3016
"AT5G04360",2477,2993,1867,917,3122,54,3895,221,3867,3226,3825,3517,3811,1231,3290,4670,942,4337,3005,0
"AT5G04365",4652,2548,2367,1194,3878,4454,4130,1847,245,1200,2451,2997,484,1428,283,4339,3356,2599,3341,2402
"AT5G04370",2555,1256,1246,3564,4310,2610,1010,3500,259,4911,3515,3153,2801,3094,4612,3289,337,2931,456,4945
"AT5G04375",3137,2728,357,2067,2049,3149,2994,1018,4149,2349,3544,4070,3231,1009,2259,3490,137,1438,1657,3134
"AT5G04380",4104,3023,3595,4898,4777,3936,2178,2152,1649,4971,634,1339,3315,1323,883,3861,3283,657,3778,4928
"AT5G04385",4254,4155,4402,4278,3681,574,4669,4876,4404,1203,2980,4111,3805,1834,4540,3488,2889,3386,1660,446
"AT5G04390",2584,2393,1038,810,4149,2446,1982,2120,4293,2886,2198,846,4398,2459,1804,2495,3643,1560,1885,579
"AT5G04395",4101,4389,1706,3012,733,4893,3483,1058,4237,206,497,1575,3879,2895,3420,3913,1030,3692,1731,867
"AT5G04400",284,1470,1966,2972,166,2898,2460,3760,2075,4648,3255,1082,3193,4395,2086,2390,1499,4563,4584,3814
"AT5G04405",3603,237,610,2542,892,443,3916,730,916,1423,3533,790,2103,2588,1079,2372,2649,893,4021,2773
"AT5G04410",515,379,1174,2243,2763,4658,236,3518,3124,4368,1413,2034,4767,2728,3527,2534,4726,1630,4852,587
"AT5G04415",2288,4971,2234,3387,4940,2292,1211,1018,234,907,407,2690,1556,62,1702,2002,4056,39,3779,1296
"AT5G04420",4350,1004,4156,739,3014,1067,1352,3000,881,2122,2016,1127,552,4080,2361,3533,2837,1717,3722,3958
"AT5G04425",4544,3816,3129,4392,1970,4280,2890,3175,3111,3564,2624,2098,4663,1206,477,4709,1340,2703,3336,1844
"AT5G04430",3095,581,2861,1467,2945,1887,2326,3401,3899,1204,3759,2901,2868,1762,403,2437,3367,2531,827,3605
"AT5G04435",1919,2076,4042,1420,3857,2826,4684,3084,1679,2416,96,4618,3495,1836,2378,757,4149,2007,932,931
"AT5G04440",330,1091,695,4336,856,4118,3817,3441,91,3653,2742,4560,2627,4140,3253,3336,966,4652,3366,2636
"AT5G04445",3069,1349,4532,3919,3074,2588,1630,1061,1970,3657,2294,2312,2215,427,2870,4033,1394,4841,4094,638
"AT5G04455",4688,3500,4166,3073,3696,179,94,2996,3917,2515,713,509,170,1817,4339,198,702,3599,542,4891
"AT5G04460",1481,155,4750,977,1773,787,944,4596,3796,1653,4567,3920,3192,303,1495,3054,2188,2194,2991,1922
"AT5G04465",2257,4049,4541,3409,4123,3771,288,2248,1146,356,2355,2303,1730,2255,449,1501,4555,280,2794,948
"AT5G04470",2260,245,2025,4707,4417,4738,1336,1226,4085,2452,718,462,3809,2702,2492,165,2058,3176,2496,3896
"AT5G04475",1534,1960,2750,459,886,801,4590,3893,3942,551,4753,4966,653,1763,222,1324,4091,3942,645,4734
"AT5G04480",90,1647,282,2701,1210,2909,972,623,2965,3699,2325,79,683,1307,3962,1578,1527,1021,4705,1727
"AT5G04490",2843,1378,1702,1759,2905,4058,3356,3746,1767,2099,2285,4405,4508,842,3407,1602,3362,3115,182,4374
"AT5G04495",1435,1024,1115,4133,1956,4074,399,455,4614,4260,127,3358,3017,4905,2776,4173,3743,4649,4968,2656
"AT5G04500",3468,2127,264,193,3533,3164,1112,2734,1473,419,4178,2372,841,4119,3671,1569,2189,371,146,3363
"AT5G04505",2391,1192,823,1848,817,4070,2551,974,3909,4720,727,116,1409,3912,3947,4936,2436,2728,3427,3343
"AT5G04510",3459,4109,3420,2255,830,492,4814,1367,651,3864,3313,502,3556,4558,2068,1868,4352,4963,4094,3798
"AT5G04515",1293,430,710,3789,345,3643,2255,4365,1713,56,3699,231,4252,463,2334,2268,1548,1331,93,1486
"AT5G04520",4521,4086,3242,4229,1624,988,841,2831,778,4605,3176,4747,2740,2545,4097,4755,916,4905,1976,2523
"AT5G04525",3758,2174,472,4803,3472,428,3828,737,4263,2273,1144,1817,3842,1432,4708,4156,1150,888,3588,676
"AT5G04530",4853,1858,948,1561,3705,704,1275,947,2001,3052,1577,4456,2762,1379,1621,2719,4895,462,1337,3830
"AT5G04540",1732,2970,832,1005,301,104,1972,2008,4361,3858,640,803,497,1246,3818,4666,996,1968,3783,1943
"AT5G04545",2406,728,3513,796,4903,382,2249,4441,998,2862,2098,2407,4329,118,87,2145,1071,1749,4626,3272
"AT5G04550",2710,3414,2565,3102,4501,502,3302,1568,3377,2129,1135,622,1620,1215,3238,3344,4257,4270,280,4693
"AT5G04560",4934,3531,2691,2224,512,3408,1462,2627,3029,2702,3478,3612,4101,1663,2553,1649,1279,605,4950,5000
"AT5G04575",2007,4011,4315,4524,2574,1806,2469,2236,518,1989,2325,3832,4139,991,3060,2633,3997,4226,148,446
"AT5G04585",3636,3724,2471,2457,4223,4840,4391,1620,1792,1256,3950,4485,3070,4037,2215,2522,726,245,194,1297
"AT5G04590",1605,369,3721,3776,270,4444,843,3264,1757,457,3199,137,4323,4024,1561,2127,1249,4178,1608,988
"AT5G04595",4868,2196,759,3034,3357,2971,3889,3424,1820,1354,498,1093,1598,4864,2204,2588,4127,3660,4483,1003
"AT5G04600",3735,90,3478,950,1910,4038,1141,2591,3328,2478,321,2351,3654,4370,1568,3278,2429,4631,727,2643
"AT5G04605",3943,343,3077,418,4552,334,3955,3209,750,2059,2865,1047,4127,3202,615,2571,3780,4301,63,4333
"AT5G04610",1740,386,3013,2552,5,62,726,1313,417,1063,4563,1759,3898,831,1892,3331,3265,4179,462,2252
"AT5G04615",4796,448,2175,4138,1403,2230,2494,1902,4011,2161,2310,294,4726,4403,4855,1124,3631,1481,1175,1255
"AT5G04620",1244,1098,3114,1866,2127,4325,2966,2159,1785,2607,2049,813,4310,85,337,394,4382,3406,3116,2310
"AT5G04625",3511,2639,4690,4938,84,4444,2925,2569,2377,1159,2610,1761,130,4570,675,3462,3044,1631,607,4506
"AT5G04630",11,626,4603,4587,4940,691,1219,2775,1969,4341,308,4692,129,2139,4491,2876,2949,3330,1500,1463
"AT5G04635",3885,744,208,4132,2607,3006,2954,2640,3386,1202,3369,969,1102,1706,4052,4032,4164,1374,1431,473
"AT5G04640",2959,2228,220,1235,1157,2890,231,1198,3305,1145,4866,1925,2572,2781,1937,639,3888,258,2476,431
"AT5G04660",128,2850,3717,1417,964,1749,4145,4126,10,2343,2851,4780,2632,1571,1330,3341,3173,2428,1457,4822
"AT5G04665",3446,3831,4517,3132,3233,4517,4880,4433,4507,3927,3339,2719,3095,221,3808,88,3756,4169,2581,89
"AT5G04670",169,2854,4361,3065,4966,647,3546,2138,2726,951,510,776,4158,4690,3235,2611,552,1076,83,4955
"AT5G04675",3003,2502,4000,1282,2751,2914,4050,4314,4158,3786,4523,241,977,3288,4142,2859,474,294,772,1152
"AT5G04680",490,4138,2859,1021,3472,3118,2397,3418,2919,4363,2764,514,143,2662,3823,3178,3101,3233,4243,694
"AT5G04685",687,772,517,612,2511,798,2959,3,1273,2161,4152,2432,546,553,2614,3238,3230,4174,1170,2889
"AT5G04690",2078,101,2406,3898,1577,2227,4153,1293,1702,3832,2521,2158,4918,1699,4756,1414,201,3654,4299,2750
"AT5G04695",1896,2979,1940,513,76,1470,2395,1209,1006,1642,3747,2393,2569,4860,983,1627,499,2065,3694,768
"AT5G04700",4771,4753,278,4244,283,1899,2927,1414,2379,3151,2811,1036,3986,4755,543,2012,1218,4698,652,3771
"AT5G04705",1859,3775,4686,1174,1353,641,4571,2506,4095,1216,1355,4709,3814,2044,2382,2116,1497,289,928,4303
"AT5G04710",4404,2313,4215,2221,2998,2165,2265,3879,1524,699,1380,2610,1300,4753,2611,1292,1153,4667,4339,2015
"AT5G04715",1910,193,1760,2858,3437,1674,842,2400,2831,1997,1566,4974,3781,2519,683,4624,4760,936,3378,1002
"AT5G04720",3965,4308,3150,1140,4812,985,2333,805,1030,3765,1117,2969,3147,1880,768,707,490,2380,3696,2151
"AT5G04725",1526,3838,779,637,1609,3537,495,4093,2506,4342,1698,4893,2163,2299,3236,1324,228,859,2398,4709
"AT5G04730",523,418,1146,4703,1707,2579,3359,4803,4220,4815,3391,4773,3887,4516,3053,4407,3746,4594,2939,3349
"AT5G04740",155,1649,987,845,2233,497,3702,1901,2104,1308,4632,4380,2773,4929,3932,62,215,2299,4940,4595
"AT5G04745",3137,2021,1980,1672,3984,3156,3149,403,285,231,1952,3729,1079,4167,1824,1620,687,3725,1997,1000
"AT5G04750",4119,4883,3664,3197,3328,4419,4477,659,664,2622,2796,2440,1657,3316,2171,4203,3776,2431,1196,2112
"AT5G04755",3047,1034,2947,1489,4683,1674,899,3384,4690,2551,3144,2490,396,2332,740,4647,4320,4291,1117,4358
"AT5G04760",3455,4057,4078,1412,4657,2127,1948,3877,4198,2891,4016,2640,2061,2249,2827,1690,827,291,449,1079
"AT5G04765",4050,4067,985,3856,1837,1271,4507,3809,409,3694,4793,1980,1177,1073,3858,2152,3282,2136,4037,865
"AT5G04770",3777,244,3193,1561,3036,1071,4943,23,1492,4708,850,4621,1512,75,4428,3809,3781,543,2369,2147
"AT5G04775",3077,950,2745,4350,238,2281,4137,4413,1815,420,2131,1530,4724,4096,656,3640,1349,844,636,963
"AT5G04780",3613,2287,3369,4512,2508,1459,3296,1603,4142,4010,3879,4222,127,4334,843,4877,3566,1005,3188,4651
"AT5G04785",3067,294,2892,3307,2735,4142,4489,1943,3086,1757,3711,3253,788,1031,2124,2,1639,13,4623,4570
"AT5G04790",2614,4750,168,3218,767,3577,3216,4012,3266,2689,2875,3364,3696,4249,2661,3453,4898,1057,1938,133
"AT5G04795",2178,1762,696,2715,3727,2227,3445,559,1688,1410,2118,506,1945,300,2590,297,4003,2775,1394,2082
"AT5G04800",2838,762,884,3076,3817,2169,559,3013,1821,2808,4728,3781,1825,95,492,4709,4053,3033,4203,501
"AT5G04810",561,2646,2436,3553,4956,2057,1497,1255,593,566,2375,2454,2075,1456,3678,1081,4659,1815,1006,82
"AT5G04815",3618,4016,4259,1305,873,4958,4516,1960,480,1832,3367,2309,2347,658,2299,4346,2989,412,3786,3532
"AT5G04820",1906,1108,4480,4314,109,3762,3671,106,1327,4008,2987,2688,1633,1882,2565,618,1783,4618,3210,2804
"AT5G04825",3412,594,3736,990,4452,4608,2172,1615,3869,1759,2097,2195,2271,3539,2981,1175,2640,727,4623,3935
"AT5G04830",4004,4580,3351,2230,1179,418,1683,1052,4331,2392,564,3735,1139,1282,4295,2499,2275,3349,2851,3550
"AT5G04840",3044,636,2718,618,2053,3142,3387,4728,2799,4727,1359,2407,1096,4812,3474,4909,2640,4144,571,987
"AT5G04845",1410,2063,633,1333,1120,1740,996,4960,2279,2833,2079,4591,4514,4436,98,2149,3908,4030,1660,268
"AT5G04850",1006,2802,976,3070,782,724,611,198,1396,3987,334,2182,1270,2271,2472,757,4135,3803,1004,2033
"AT5G04853",1991,4353,3018,3046,4813,491,640,2903,2222,4107,2421,981,2130,1570,488,3791,564,3108,2913,3312
"AT5G04855",2573,3316,3538,2486,285,2294,2879,375,707,2636,4163,2467,4411,71,2022,4237,87,781,257,4734
"AT5G04860",2913,2700,2385,3803,3006,3073,2273,1180,2235,1969,2608,84,1211,4921,325,3258,4337,4967,3572,2982
"AT5G04865",3901,1081,3646,977,254,1906,971,1617,2449,4919,3858,2508,3982,4345,3007,22,2774,4793,3546,1648
"AT5G04870",1790,2022,2281,1970,2867,2644,3923,2496,296,860,601,4554,4938,344,3020,3006,3947,1865,1391,614
"AT5G04885",2569,3015,272,4539,3128,3540,1083,3660,1038,3996,2784,2391,3549,4505,582,2434,4320,530,4106,4239
