"","Mmus_C57-6J_LVR_GC_I_Rep1_M31","Mmus_C57-6J_LVR_GC_I_Rep2_M32","Mmus_C57-6J_LVR_FLT_I_Rep1_M21","Mmus_C57-6J_LVR_FLT_I_Rep2_M22","Mmus_C57-6J_LVR_GC_C_Rep1_M36","Mmus_C57-6J_LVR_GC_C_Rep2_M37","Mmus_C57-6J_LVR_GC_C_Rep3_M38","Mmus_C57-6J_LVR_GC_C_Rep4_M39","Mmus_C57-6J_LVR_GC_C_Rep5_M40","Mmus_C57-6J_LVR_FLT_C_Rep1_M25","Mmus_C57-6J_LVR_FLT_C_Rep2_M26","Mmus_C57-6J_LVR_FLT_C_Rep3_M27","Mmus_C57-6J_LVR_FLT_C_Rep4_M28","Mmus_C57-6J_LVR_FLT_C_Rep5_M30"
"ENSMUSG00000025017",861,2640,342,2970,3847,1193,471,3109,4174,4716,1065,175,3117,593
"ENSMUSG00000025019",1053,881,260,3090,2372,142,2167,581,4265,1138,1402,3137,773,1547
"ENSMUSG00000025020",50,2063,3803,3599,705,4637,2918,3265,182,2574,1020,3034,4915,1978
"ENSMUSG00000025024",1318,3924,3050,4812,2163,4938,2540,4705,4930,690,2995,3880,2649,574
"ENSMUSG00000025025",128,1900,4719,1659,4411,4843,2143,4473,1699,687,2247,1526,1612,4341
"ENSMUSG00000025026",1503,2162,3176,2011,3673,3970,2546,3145,3373,2318,1262,1849,1121,1676
"ENSMUSG00000025027",102,1849,1257,515,374,1137,3308,756,3849,2040,3276,102,2139,1031
"ENSMUSG00000025034",1479,2648,389,1119,3063,212,2808,3042,4465,4489,4544,733,597,4325
"ENSMUSG00000025035",1259,4344,2735,4646,2252,2679,4248,4867,1618,1576,4720,346,2520,4304
"ENSMUSG00000025036",701,4379,4379,4747,3448,2048,3069,1557,2237,4861,312,467,501,465
"ENSMUSG00000025041",2169,4257,4174,3259,2443,2982,4080,4779,2015,3471,4555,4877,869,445
"ENSMUSG00000025047",656,3258,4239,591,4109,4313,2788,3401,3341,4633,2966,2449,369,3391
"ENSMUSG00000025049",327,3765,4973,2308,3731,358,1735,1722,374,497,2658,1260,2403,11
"ENSMUSG00000025050",1674,228,3840,407,3034,3594,4770,3523,2050,4694,2949,3969,370,4137
"ENSMUSG00000025060",4534,104,4529,1551,4741,3236,4843,4108,2934,3394,4822,3962,1559,80
"ENSMUSG00000025064",2777,1454,3640,3961,4507,2971,715,4110,1099,1703,3740,118,3907,1579
"ENSMUSG00000025066",4831,1249,303,2126,4834,2783,1847,1501,905,2551,930,3850,4538,4978
"ENSMUSG00000025068",4186,3347,2860,948,2722,2296,1266,3429,1754,2805,688,3424,3642,4940
"ENSMUSG00000025069",1875,91,607,1650,1350,2310,2403,4059,4170,292,1836,2099,532,4134
"ENSMUSG00000025075",1949,796,1491,1802,2415,4217,4782,1638,264,4074,959,1195,3024,1002
"ENSMUSG00000025076",3194,3414,1353,2232,2055,2180,3685,2734,3293,3273,2358,3526,4026,947
"ENSMUSG00000025077",130,1287,862,4843,2218,29,2308,3784,4831,3624,3180,499,4762,920
"ENSMUSG00000025078",1805,1631,2650,334,1006,2560,3808,4894,958,3051,2987,3758,4054,4679
"ENSMUSG00000025081",3159,3580,4935,4474,4120,3094,979,3070,4336,1992,1845,4452,2504,1458
"ENSMUSG00000025082",2152,2739,1854,4663,4434,1925,3345,3236,2360,2726,3701,3405,1864,2648
"ENSMUSG00000025083",3737,748,2821,915,3640,3879,1933,979,4440,3097,2478,366,2808,623
"ENSMUSG00000025085",4879,2461,3944,1639,2839,4164,4762,2696,1889,1687,970,1338,3683,98
"ENSMUSG00000025086",1733,3456,735,2061,844,4438,2468,4301,2376,2135,2462,497,1937,2709
"ENSMUSG00000025089",276,3254,368,854,270,60,1115,2982,1320,1172,1485,1230,342,4457
"ENSMUSG00000025090",312,829,2684,2936,4718,4537,3485,1999,230,703,3354,3497,1894,1001
"ENSMUSG00000025091",1428,2438,4396,3271,2696,1265,3023,1716,3916,338,4125,3180,2904,929
"ENSMUSG00000025092",2449,1137,1696,4852,780,1422,1328,1984,2536,2904,2190,2659,4858,1024
"ENSMUSG00000025094",2988,142,4116,3871,3783,2291,247,2847,497,1128,2430,3292,1361,3221
"ENSMUSG00000025154",1262,2919,104,92,2529,2740,4540,1910,2251,3716,4593,1780,4763,1367
"ENSMUSG00000025157",4723,4202,872,1888,4362,4150,4178,4430,2573,2174,3485,3456,3626,849
"ENSMUSG00000025159",3881,4929,1579,3500,4182,1432,2331,483,3064,1487,250,92,4907,3797
"ENSMUSG00000025171",1987,3187,2721,3123,4115,651,3640,3382,917,2291,4318,3617,769,4399
"ENSMUSG00000025172",1814,4910,2113,3522,2594,879,3340,4348,2083,309,578,4816,2974,4452
"ENSMUSG00000025176",4779,1331,4221,3500,4079,677,2133,4518,229,2342,961,866,1860,1264
"ENSMUSG00000025178",2490,1552,4937,469,2598,698,4966,77,1453,60,2222,346,4120,859
"ENSMUSG00000025184",183,1506,2088,2396,4485,928,781,2238,4036,200,2391,2597,1929,4891
"ENSMUSG00000025185",3332,3991,1781,2719,1800,3867,4347,3719,2641,3611,2829,1151,1897,665
"ENSMUSG00000025188",4645,1327,467,2917,3811,1979,2549,1547,1336,3022,4904,831,4932,4207
"ENSMUSG00000025189",1847,4839,3891,3518,1218,3784,938,3883,107,4984,3258,2249,3716,4016
"ENSMUSG00000025190",1207,3698,4962,558,4341,2321,1626,4683,1665,1457,4759,471,853,2430
"ENSMUSG00000025192",485,333,4015,1219,3033,990,3009,4095,1596,521,2439,1255,1895,2032
"ENSMUSG00000025193",4378,2413,1858,313,4009,4026,4805,2122,4625,1302,1986,2533,1328,4752
"ENSMUSG00000025194",1000,2519,2910,1104,1942,4857,1271,4266,3515,971,1028,2910,1358,4022
"ENSMUSG00000025195",2292,3074,3387,4390,4615,1554,2363,2470,3477,2618,1955,4438,1785,1575
"ENSMUSG00000025196",1646,3781,3638,2816,1065,836,4311,2446,809,3667,265,534,3678,697
"ENSMUSG00000025197",1116,1990,1937,3670,4301,3039,2678,3925,685,107,2147,4251,2501,438
"ENSMUSG00000025198",856,1403,2103,1894,3343,3372,3468,3797,3669,4485,2629,987,2063,627
"ENSMUSG00000025199",3315,2522,1722,2729,2295,2306,2654,3701,4924,3188,4572,963,1635,4992
"ENSMUSG00000025200",2209,3194,305,1241,4363,1055,827,1294,2911,4867,2918,2070,4821,674
"ENSMUSG00000025202",280,3403,1624,3600,694,3946,3410,1279,2776,78,2456,2952,2415,3955
"ENSMUSG00000025203",3012,4076,1052,3300,2114,3408,3747,372,2803,3195,2435,4487,3272,1898
"ENSMUSG00000025204",3165,3720,2245,2389,731,1827,4269,4871,2782,2541,3253,965,636,2942
"ENSMUSG00000025207",2893,562,2577,3658,145,4972,882,106,3088,4100,4678,4308,44,3082
"ENSMUSG00000025208",3245,179,4339,2662,812,1328,4031,532,1164,1252,3963,3476,1023,3773
"ENSMUSG00000025209",3149,4860,3056,252,2023,2771,1758,1679,3256,3666,3256,2061,4165,3138
"ENSMUSG00000025212",804,1894,1901,408,3274,4635,3165,2530,535,2977,1260,434,4141,1216
"ENSMUSG00000025213",4265,2881,190,987,2354,2342,4361,4943,1369,3846,1139,1962,4595,506
"ENSMUSG00000025215",4788,3639,1699,3778,3157,3541,4916,4049,2556,840,74,3389,4744,2717
"ENSMUSG00000025216",1974,4116,4034,3111,2315,3163,2150,1554,785,1861,1371,4522,4981,3007
"ENSMUSG00000025217",4221,4577,1113,678,4549,3862,3101,758,4209,3691,357,3784,3962,4690
"ENSMUSG00000025218",2250,1914,486,4611,3028,1159,2197,1585,45,1403,1905,1128,4335,2019
"ENSMUSG00000025219",622,4991,4941,3630,1274,4342,4990,872,3994,3075,481,2088,3138,454
"ENSMUSG00000025220",3997,588,4729,3269,3241,2577,1698,3178,4854,1395,3382,3247,4895,2835
"ENSMUSG00000025221",2238,58,2208,4978,2801,3741,2405,171,2428,1933,591,4181,1002,176
"ENSMUSG00000025223",980,2355,1478,1747,1228,4168,1844,4922,1468,1294,1103,1524,3873,3760
"ENSMUSG00000025224",1468,3759,4892,1439,1974,602,3071,2730,3339,4631,821,2981,1803,3734
"ENSMUSG00000025225",319,4074,939,4670,2602,3723,3250,4720,1407,1357,1549,172,1786,1097
"ENSMUSG00000025226",2857,1428,1169,1762,1476,2420,3766,936,2915,1679,2684,752,66,1353
"ENSMUSG00000025227",2223,655,4792,277,1137,4564,3236,1892,4512,777,2788,4816,2207,88
"ENSMUSG00000025228",1224,1747,3485,602,3546,1814,4114,524,1331,562,2007,2528,4863,2003
"ENSMUSG00000025229",2333,2686,3565,3691,4655,1952,1649,4418,803,2763,2151,4876,1516,2380
"ENSMUSG00000025231",1736,538,3340,4760,2085,4113,4642,1675,4361,4258,3355,1672,933,4563
"ENSMUSG00000026931",1654,697,4798,1711,4260,3010,4473,4115,903,1771,765,4786,683,230
"ENSMUSG00000032648",2211,3599,1907,1266,1671,3799,2288,3657,167,941,4666,670,4357,3698
"ENSMUSG00000032702",3866,45,2198,1346,2533,327,511,3054,2744,1216,1979,4727,2742,2269
"ENSMUSG00000032773",591,2477,463,4479,2722,1061,3975,2431,2074,3923,899,4725,3829,951
"ENSMUSG00000032808",3398,1421,378,2408,2455,1917,3697,1346,1849,2447,4796,4654,3329,457
"ENSMUSG00000032946",3660,1679,2522,1383,3027,1693,482,4972,1024,1019,3938,4930,3897,601
"ENSMUSG00000033033",2427,3414,2395,1854,2195,2153,3678,4354,1352,1336,1281,411,2592,2590
"ENSMUSG00000033053",1525,1738,462,1475,4805,2340,3485,3342,473,4111,3009,1893,165,4739
"ENSMUSG00000033207",3322,1476,2139,1336,1989,3519,4919,3881,801,2288,3386,3701,830,1932
"ENSMUSG00000033417",4156,3647,3131,2836,995,2795,4648,1877,1650,902,1056,1951,1464,1191
"ENSMUSG00000033478",3848,2291,3012,3750,4438,540,4767,312,4003,403,3980,1564,1549,618
"ENSMUSG00000033610",518,1937,4741,2061,2981,4337,1691,4015,2609,3554,1096,3883,1421,1455
"ENSMUSG00000033717",552,2871,2677,680,4377,4719,1171,4787,583,3460,923,4585,4089,4850
"ENSMUSG00000033760",4927,2053,4499,4959,3134,1849,371,4842,2985,1964,2042,4626,3407,790
"ENSMUSG00000033768",416,1373,3821,3361,573,3128,829,1780,659,2721,3631,3002,524,2001
"ENSMUSG00000033863",4516,3717,1814,4581,2448,1359,4282,3085,220,3259,3363,1678,4064,4058
"ENSMUSG00000034108",4791,4272,1335,3211,380,68,2029,4055,1836,4178,4025,567,2303,674
"ENSMUSG00000034117",1444,398,3094,3464,3665,1168,682,3124,2871,4531,1239,2821,2209,1053
"ENSMUSG00000034321",3322,4143,4531,3910,3929,3159,2770,2921,3630,2122,2691,4700,2252,3797
"ENSMUSG00000034336",3533,1988,3046,1745,2660,1757,3120,2501,4316,4884,2033,1367,1540,3199
"ENSMUSG00000034371",4632,1010,3567,4698,2563,4208,682,4903,3598,3777,4558,2382,3782,1757
"ENSMUSG00000034445",144,3756,3685,3189,4701,943,2755,4554,4288,3105,3650,3239,3121,4213
"ENSMUSG00000034459",4873,365,2984,1345,1235,3436,2738,2926,2607,364,4666,252,995,4998
"ENSMUSG00000034616",3157,259,1937,3586,3057,3175,1233,694,1649,975,2111,1089,3101,4253
"ENSMUSG00000034659",3095,2113,3533,597,3318,3265,4435,564,4846,1609,1459,2346,2049,2293
"ENSMUSG00000034765",3224,1821,3705,4008,3853,3206,766,1252,3817,2948,3695,0,3014,4862
"ENSMUSG00000034820",3526,266,423,1439,1615,2738,2625,2057,3750,2387,307,2675,907,4814
"ENSMUSG00000035049",4090,3478,2364,3333,4570,4173,2759,192,2873,2143,3471,1215,3153,2619
"ENSMUSG00000035171",133,911,67,2833,23,1983,158,4429,1564,3287,1135,3977,3502,1015
"ENSMUSG00000035173",2965,4185,1748,104,1878,1670,3793,1782,4217,3326,1544,992,4883,541
"ENSMUSG00000035179",3321,33,2051,1253,4233,601,2690,1146,108,902,1801,4135,3686,3364
"ENSMUSG00000035283",4739,3394,3277,57,196,242,39,233,609,48,3255,1558,3503,2676
"ENSMUSG00000035342",74,2784,4542,1699,1758,4679,4554,2912,4057,2010,1846,3219,1988,402
"ENSMUSG00000035372",3840,43,4644,4801,305,3256,562,4834,2540,4428,3848,2567,2930,4301
"ENSMUSG00000035735",4329,3977,3884,2013,1099,1294,1712,2308,304,3526,3254,3599,2319,3612
"ENSMUSG00000035783",3678,3951,2112,2172,1030,4058,1567,1944,2379,2714,822,4493,1687,1775
"ENSMUSG00000035804",1189,2927,1326,4136,1658,3492,831,1540,1993,4931,2679,4608,3083,3436
"ENSMUSG00000035818",4268,1834,4123,619,2329,3403,3638,3601,1816,3201,3047,2829,329,4906
"ENSMUSG00000035885",191,624,2235,218,3704,4169,3575,379,3007,2836,3045,1175,2209,710
"ENSMUSG00000036097",2327,2620,989,3915,2488,4706,4923,2719,322,4577,1648,2909,406,4725
"ENSMUSG00000036098",1861,856,4093,2599,4356,2462,502,4307,2481,335,368,3325,713,3328
"ENSMUSG00000036192",2106,1691,4967,2158,2355,3038,4634,3043,1999,4779,2619,1473,1040,2289
"ENSMUSG00000036278",4033,1677,4141,824,4894,3777,681,2479,970,4457,3108,416,789,3335
"ENSMUSG00000036372",952,171,2890,3656,1381,3716,2775,935,793,916,2590,3326,1931,4555
"ENSMUSG00000036450",4391,3788,1326,1312,3795,2106,4165,3415,1403,1322,3322,3867,2313,3296
"ENSMUSG00000036748",4420,1887,380,4737,3373,882,3928,3405,3857,2726,3279,3968,1571,3637
"ENSMUSG00000036908",4661,2785,4437,352,4560,3243,4188,1810,801,4924,1811,1425,2818,4227
"ENSMUSG00000036961",3376,1987,3707,938,2413,993,4721,1582,3842,2004,4244,2943,1621,1715
"ENSMUSG00000037071",153.24,3811,3414,3298,2307,4866,1375,3274,3896,4360,1204,4769,4934,3835
"ENSMUSG00000037126",4214,1253,3769,1957,4856,3200,3253,716,729,533,3249,34,2059,3567
"ENSMUSG00000037263",2484,1088,3885,4299,3483,1721,2992,284,406,860,2684,774,2386,1569
"ENSMUSG00000037349",4446,494,1567,1891,2358,3827,2699,4985,2989,97,1671,1538,2260,3022
"ENSMUSG00000037418",608,96,1262,3786,3681,2687,4756,3374,2870,4244,2249,2965,1056,2233
"ENSMUSG00000037451",1172,1636,971,1768,4194,1612,1337,3719,2757,2470,2280,4709,4186,4622
"ENSMUSG00000037477",1815,3789,4421,4594,1451,1220,4120,8,3203,105,742,2075,4194,686
"ENSMUSG00000037578",807,1913,449,247,1720,3335,761,296,944,2452,759,1420,2830,783
"ENSMUSG00000037603",758,3815,1355,378,3787,3106,4095,3684,179,3916,1663,3867,782,2231
"ENSMUSG00000037847",3886,459,4849,2983,4210,4877,3650,2174,4430,4114,48,41,936,4527
"ENSMUSG00000037916",4014,1678,1182,2025,2588,1243,401,4565,2687,1353,2675,3135,325,3863
"ENSMUSG00000038155",540,4134,2013,4070,597,2422,3700,876,983,1844,4321,2751,745,3872
"ENSMUSG00000038274",2993,1978,4697,3212,1232,4949,4638,81,329,3350,2892,1585,300,1210
"ENSMUSG00000038498",4014,4937,228,411,1317,3021,1152,1126,1168,4374,4200,4805,1728,1904
"ENSMUSG00000038658",4691,112,2081,683,1098,426,3639,493,4339,671,4830,2463,266,2242
"ENSMUSG00000038754",524,4172,4507,664,661,4970,2097,3160,4264,1306,1447,4631,4759,1506
"ENSMUSG00000038812",2884,4942,1330,4879,3180,2484,2137,1877,2062,3523,792,1019,1568,3489
"ENSMUSG00000038843",3441,1880,239,4900,2199,1666,2978,627,4797,1005,2701,4138,3263,2674
"ENSMUSG00000039097",4962,4365,48,2468,3164,1120,4832,3379,4201,3006,4324,1949,2240,1605
"ENSMUSG00000039126",4236,2594,3925,1321,2746,879,98,1541,3074,1193,712,4080,1226,4740
"ENSMUSG00000039148",4824,1921,2017,2099,2920,3407,3436,3697,139,3341,439,1490,4313,364
"ENSMUSG00000039330",497,946,1442,412,4610,3190,1112,1706,4163,3312,4288,1821,2187,2931
"ENSMUSG00000039652",4766,4954,2422,2623,1459,927,3118,3906,4841,287,3322,353,3414,3262
"ENSMUSG00000039699",4102,3007,2711,4724,4471,1656,113,3075,4397,3039,3484,42,356,45
"ENSMUSG00000039901",3886,3123,4945,4482,2203,4549,3680,3983,4764,1158,4366,1556,3247,808
"ENSMUSG00000039982",3674,2782,805,1127,1573,1787,1215,4348,4331,562,3125,1602,2718,1284
"ENSMUSG00000040018",566,580,3618,2452,551,3097,4108,3168,616,3780,991,2252,2774,4655
"ENSMUSG00000040022",1267,1623,1868,1434,781,4791,4917,718,1534,4176,4027,4722,1591,1073
"ENSMUSG00000040065",4124,513,1933,3550,1941,575,2626,447,1759,4707,1874,1046,2322,4835
"ENSMUSG00000040105",3435,4672,149,2258,3522,2491,3683,3984,165,2568,2239,715,1025,688
"ENSMUSG00000040247",4922,4769,3703,2057,843,1234,4790,4494,1381,235,3542,3757,2789,318
"ENSMUSG00000040385",2640,1297,3501,1957,3889,2919,820,1148,4274,4597,1815,2893,269,1078
"ENSMUSG00000040414",500,4894,3657,3556,2170,4683,4922,3569,553,1625,256,591,4232,1197
"ENSMUSG00000040451",920,3269,641,3640,2225,4271,2904,4670,3043,416,1921,3202,1934,3922
"ENSMUSG00000040565",1698,3299,1177,1133,4310,3442,858,3418,1124,4645,4273,2301,1810,2700
"ENSMUSG00000040663",1135,940,2683,554,2663,2100,20,3002,3970,3644,3710,3739,2473,369
"ENSMUSG00000040901",3157,3125,4655,4783,3318,682,753,2478,2785,3863,4552,4559,4951,3600
"ENSMUSG00000040913",2332,1535,1820,3050,1983,2436,980,37,473,577,2129,4994,3022,1997
"ENSMUSG00000040929",1639,2745,3309,3364,407,2624,4975,2683,452,1831,1616,2147,3940,4547
"ENSMUSG00000041035",2124,2402,4797,4103,1730,1199,1679,1839,4171,1359,1667,4195,4389,1094
"ENSMUSG00000041180",1222,4658,454,2449,1950,2419,2264,3287,3518,2753,2879,1441,338,4727
"ENSMUSG00000041360",2949,4512,835,4430,1660,549,1727,3293,3976,824,4677,4341,1867,2910
"ENSMUSG00000041362",2509,4782,356,1192,2853,3237,383,3242,1120,2330,1649,3606,4228,2209
"ENSMUSG00000041488",2208,3207,2695,754,2936,4659,2783,2830,686,2906,647,1498,4941,685
"ENSMUSG00000041491",1399,64,1426,2051,1732,2469,4550,1461,1201,2758,2426,2917,2477,1443
"ENSMUSG00000041731",3036,4533,3972,3431,329,990,1963,923,4659,521,4711,700,1001,629
"ENSMUSG00000041845",4697,1485,996,2585,1135,4177,32,4496,3671,4497,317,2815,651,4227
"ENSMUSG00000041857",258,4689,1351,1982,1744,1363,3567,3104,2000,1773,2430,4275,3910,1295
"ENSMUSG00000042041",3141,1102,704,3737,4155,1114,3557,2613,478,3529,2485,416,226,902
"ENSMUSG00000042179",2327,2580,2446,1808,4737,1706,2076,931,2860,4669,4631,926,871,2542
"ENSMUSG00000042248",1830,1489,3650,3274,3475,1310,3806,478,2075,3547,849,4242,4391,1391
"ENSMUSG00000042372",4900,4371,4994,2639,4584,4469,3269,974,2581,4165,445,915,4970,471
"ENSMUSG00000042401",3717,2716,495,1828,4135,1938,4445,359,2124,1739,4190,2871,481,4626
"ENSMUSG00000042532",2976,79,1442,2375,2473,2947,2260,2074,4007,3875,2001,3044,1802,671
"ENSMUSG00000042694",1566,3197,4860,4096,1803,2461,916,3937,2706,1679,3939,4986,2544,1252
"ENSMUSG00000042729",4496,192,1469,631,1336,893,4451,2186,4044,818,2239,4786,3748,266
"ENSMUSG00000043488",2906,2617,598,3515,3186,1128,3794,3148,1936,2478,2245,3116,3857,3594
"ENSMUSG00000043531",132,2500,3436,3637,511,4587,4808,3190,3992,3799,1336,4049,1561,106
"ENSMUSG00000043623",362,1588,2983,1821,1792,4803,2483,1145,2999,2208,171,689,3583,542
"ENSMUSG00000043639",849,478,1523,2397,1756,3642,4282,630,263,1170,112,4631,2612,3597
"ENSMUSG00000043789",1984,1565,3484,2522,2851,1778,513,4523,2569,4253,101,4418,3807,4988
"ENSMUSG00000043969",1814,3227,3208,3185,2230,1825,2410,127,425,4733,1256,4517,3493,4228
"ENSMUSG00000044026",4171,1814,4999,85,3823,3043,2253,1353,2995,4883,1509,2409,2129,1367
"ENSMUSG00000044040",3423,2702,4623,3059,2101,3993,4570,2837,1754,1256,2701,1522,4815,2161
"ENSMUSG00000044065",1990,1913,1561,3688,2067,581,1900,2476,1048,93,3805,477,3071,527
"ENSMUSG00000044220",4726,2895,75,4119,1783,3267,1939,1789,240,1843,494,3101,265,3849
"ENSMUSG00000044345",2984,3598,2843,162,4841,77,4515,761,3372,2668,3065,3968,4858,4602
"ENSMUSG00000044387",3451,2985,359,2550,4255,4870,1681,812,452,1580,1921,2167,3700,4693
"ENSMUSG00000044390",3692,1553,2260,1565,3161,1788,3302,1794,4577,2334,2229,4830,1430,2797
"ENSMUSG00000044424",2637,3465,170,1852,2858,4905,4371,3529,889,3667,1700,4214,694,1134
"ENSMUSG00000044441",2390,2232,1219,238,4728,163,347,2879,961,2994,3956,4851,3241,1900
"ENSMUSG00000044724",2018,3211,2223,2019,3920,433,907,4768,3320,3198,2514,347,3224,501
"ENSMUSG00000044948",2999,3681,368,2088,2763,389,3446,4439,4747,2310,1613,4140,81,2531
"ENSMUSG00000044994",1631,2277,2749,1505,4591,2688,3678,501,2505,2387,1195,2564,4698,3907
"ENSMUSG00000045030",2872,2201,883,3283,2708,2990,3667,4801,4492,179,764,1030,3438,1690
"ENSMUSG00000045045",556,606,4880,3376,1244,164,3933,1825,494,2277,2390,2983,2538,435
"ENSMUSG00000045052",4632,1552,4849,811,981,3419,181,3698,1806,863,410,3801,4659,3444
"ENSMUSG00000045098",1702,1740,3145,1735,4714,4629,3079,528,54,4463,1257,3000,1531,1962
"ENSMUSG00000045104",3196,1826,4280,1575,2320,1887,3126,1966,1392,4780,1421,125,121,4483
"ENSMUSG00000045126",1659,2904,484,3764,4528,3990,2780,3995,2696,4087,4944,1438,121,18
"ENSMUSG00000045395",4527,2506,1995,2045,2041,608,4401,1348,4026,981,1747,2744,2265,3944
"ENSMUSG00000045664",13,354,4322,3841,2978,1490,4453,2384,1326,1358,1783,45,4177,4275
"ENSMUSG00000045678",2133,1802,4764,3294,1202,2512,2997,480,3019,4088,3944,4941,960,798
"ENSMUSG00000045826",4526,2054,1768,2947,454,2267,4498,4125,4430,966,316,2270,1255,4802
"ENSMUSG00000045883",2745,2466,3871,4887,1628,1454,3269,144,3909,4254,3901,4917,4028,856
"ENSMUSG00000045903",4575,1367,2220,151,1777,2324,3357,1260,4767,966,1389,4375,3569,1562
"ENSMUSG00000045932",2058,3553,2357,2059,1966,1134,1899,2964,910,990,1088,4529,4863,4991
"ENSMUSG00000046008",1164,2805,1456,2973,4140,4414,370,4260,2762,4420,1167,2227,179,4116
"ENSMUSG00000046138",3406,461,2955,2350,1951,393,1298,1878,2791,1842,1757,3398,242,2789
"ENSMUSG00000046139",4764,356,4922,2997,2723,97,3221,3958,4464,2362,2429,744,586,1357
"ENSMUSG00000046230",508,1929,2127,1829,1160,1539,3540,4699,3188,1381,534,1752,3267,146
"ENSMUSG00000046272",3324,2569,1680,1246,2561,3324,2593,1241,3845,302,306,2742,3623,2160
"ENSMUSG00000046324",1622,3474,4956,3742,2460,4517,3401,4577,3579,841,175,1234,336,4396
"ENSMUSG00000046388",4377,4935,1019,1235,1050,3685,1932,2953,150,924,2686,4278,863,337
"ENSMUSG00000046585",351,3352,1659,2758,4308,2992,4034,4952,4025,2645,4114,1060,976,632
"ENSMUSG00000046650",2396,4083,431,927,3216,3762,3495,1655,3212,1693,2892,4649,3195,4790
"ENSMUSG00000046805",8,2639,3175,3553,2843,2137,140,1205,3243,979,4297,1199,2210,2979
"ENSMUSG00000046913",2560,4876,1220,828,2824,2904,4158,794,4885,1727,3342,3947,1637,4260
"ENSMUSG00000047044",4751,3217,3987,2464,647,138,3277,3510,2186,3113,4463,2500,1427,4686
"ENSMUSG00000047168",3241,970,2017,1075,3782,1351,2187,1714,1758,505,1581,3003,1259,3225
"ENSMUSG00000047207",1527,2623,2271,3203,1,1626,2547,2633,3007,1938,3983,4007,2241,1992
"ENSMUSG00000047298",3105,3866,3209,1715,4604,3711,1197,2996,3801,639,998,3697,4325,2299
"ENSMUSG00000047368",4247,1140,3340,3810,1369,4000,697,854,2492,4133,2682,1073,3100,847
"ENSMUSG00000047379",3148,1175,4580,2840,821,4037,2617,4022,750,2110,657,4605,2914,2192
"ENSMUSG00000047423",717,2155,1818,4249,511,4061,3410,1055,2805,2610,3834,4453,624,684
"ENSMUSG00000047509",4070,4581,233,2892,383,1088,3254,1608,802,2904,4655,2628,2269,2900
"ENSMUSG00000047604",544,1304,4838,3224,2185,4413,4334,2638,3406,4755,2789,1130,3341,147
"ENSMUSG00000047632",1397,2629,1815,357,2190,3643,127,1699,2614,2059,2850,4610,4353,2951
"ENSMUSG00000047656",926,1395,340,3029,689,3930,739,605,1345,3753,1379,2610,4583,3151
"ENSMUSG00000047658",320,1629,3037,4723,1939,62,4435,4693,3629,1962,1516,4729,2103,4301
"ENSMUSG00000047731",3543,141,992,1367,1843,4557,1099,151,2255,1010,2976,3276,2788,1969
"ENSMUSG00000047733",2486,3347,3383,2793,557,276,832,2736,3841,3565,3592,2044,4844,1460
"ENSMUSG00000047787",2500,1454,4175,1055,1695,2865,4761,1498,714,652,3827,1185,3292,254
"ENSMUSG00000047810",3017,4379,2545,3071,3730,1182,1926,2362,4101,4430,910,4478,890,2156
"ENSMUSG00000048029",1971,4651,2686,2844,3117,488,4780,866,1785,4487,3503,4857,4800,2868
"ENSMUSG00000048120",2755,2410,1245,3785,4974,4073,159,1013,4491,2916,326,4575,408,2166
"ENSMUSG00000048138",3118,1932,3927,336,2181,3628,3913,2192,4022,4031,4720,1437,4282,3708
"ENSMUSG00000048292",3103,2840,965,4093,3047,3027,1449,2178,2890,4028,780,1721,2560,1190
"ENSMUSG00000048356",678,200,4715,3559,4326,1490,729,700,1877,1711,2625,3147,3053,2064
"ENSMUSG00000048456",3713,3755,1531,4384,3165,2174,4192,4524,976,3753,4554,2292,3580,1347
"ENSMUSG00000048572",2915,3096,2777,1508,467,1916,1786,1497,1165,1219,3651,1750,4779,3037
"ENSMUSG00000048612",1192,4963,1199,4393,2680,1890,3968,1686,3907,3114,1858,2438,3978,3826
"ENSMUSG00000048720",358,4580,3756,2862,4293,3410,3029,634,2160,2402,1914,2969,2985,1519
"ENSMUSG00000048832",261,917,853,2624,1495,1356,1466,3096,4011,2438,4946,3032,4517,384
"ENSMUSG00000049015",1725,1260,4980,3528,3325,1953,4297,2971,4025,4240,3133,748,2933,1346
"ENSMUSG00000049134",826,1197,2491,2259,2361,4085,1454,809,3974,3979,2371,3426,298,4008
"ENSMUSG00000049164",3424,2866,3389,2360,1346,3167,2968,2340,2091,143,3199,190,3524,4791
"ENSMUSG00000049303",4300,1668,4801,265,1032,4180,1906,2561,1791,2876,623,686,4557,2330
"ENSMUSG00000049498",4537,1639,2652,3038,1187,2952,3953,988,3716,1504,2248,4962,623,3176
"ENSMUSG00000049562",4980,3044,2697,3094,3844,4516,2830,4358,2924,1656,1162,2719,1154,4553
"ENSMUSG00000049670",1718,330,826,2666,1343,1478,3131,383,4905,3490,414,1787,3601,2422
"ENSMUSG00000050121",2661,539,3828,4092,2399,4278,711,3054,2239,2694,2266,4805,122,3372
"ENSMUSG00000050195",4936,3150,1044,2895,765,1300,4428,448,2483,43,1155,4558,2141,4067
"ENSMUSG00000050370",2052,44,977,3607,704,2690,4581,573,965,1517,895,3043,2245,4710
"ENSMUSG00000050623",1088,2843,2339,2135,4800,2817,699,262,3078,1581,4281,4533,3810,2884
